1993,ac,apr,argument,article,atheism,atheists,believe,bible,bit,book,ca,christ,christian,christianity,christians,church,com,come,computer,course,cs,day,did,different,does,doesn,don,edu,evidence,example,exist,fact,faith,file,files,free,god,good,graphics,group,hell,help,host,human,image,jesus,john,jpeg,just,keith,know,law,life,like,lines,ll,mail,make,man,mean,need,new,nntp,organization,people,point,posting,problem,question,read,really,reason,religion,reply,right,rutgers,said,say,sgi,software,subject,thing,things,think,time,true,truth,uk,university,use,used,ve,version,want,way,work,world,writes,wrong
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29334637235126737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2243320964052906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46082661027290533,0.29625603199880635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2406359810374113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23021814376765098,0.0,0.0,0.0,0.11114437097511172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24345540406731978,0.11903222157118108,0.24020850216053552,0.0,0.22733111467058803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11114437097511172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2936910063358499,0.17810182172986894,0.3564948439676279
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03488698379702584,0.0,0.0,0.0,0.0,0.25266763282874566,0.0,0.0,0.03881294693027043,0.08658713799177514,0.026679280707356593,0.07909810078068144,0.0,0.08284534386200018,0.0,0.044172439353471746,0.0,0.0,0.08686071011123177,0.0,0.0,0.0,0.0,0.08552651502603306,0.0,0.0,0.30469267073331163,0.0,0.0,0.04547363349775621,0.7407797784198904,0.13530328381597298,0.0,0.0,0.0,0.04076817513741156,0.0,0.0,0.0,0.27092276565656204,0.0,0.0,0.08570227123259919,0.0,0.0,0.0,0.11761262978263924,0.05589580772104092,0.01321813471992165,0.0,0.0,0.0,0.042469509097096986,0.0,0.03590753945386154,0.149417405778123,0.0,0.014156217961697398,0.057134847488399455,0.0,0.0,0.0,0.03617548379185477,0.0,0.037959868063249504,0.0,0.0,0.0,0.03843293331233756,0.0,0.0,0.06214827321930651,0.0,0.0,0.01321813471992165,0.04008378943155205,0.03720720927885471,0.08570227123259919,0.06398971804265888,0.23729430234204432,0.14294600839151786,0.0,0.0,0.03682265460172636,0.0,0.0,0.0,0.0,0.03312706422726275,0.0,0.034927970294113445,0.0,0.04239708078042696
0.0,0.19020397252899499,0.0,0.0,0.0997029758074028,0.0,0.0,0.0,0.0,0.0,0.1799479302415914,0.1739539220429577,0.0,0.0,0.0,0.3174091930445803,0.0,0.21818103571330374,0.0,0.0,0.0,0.0,0.0,0.0,0.17076515451595942,0.0,0.16340742459915794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239056909470212,0.0,0.0,0.0,0.05404842722381307,0.34096876566807244,0.5245717782090705,0.0,0.0,0.0,0.0,0.0,0.0,0.057884212294650635,0.0,0.0,0.0,0.0,0.0,0.15736999964773365,0.0,0.0,0.0,0.1501803085030054,0.0,0.0,0.0,0.0,0.0,0.0,0.05404842722381307,0.0,0.30427759824213396,0.0,0.2616514123954599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14281908155102274,0.08660918466442986,0.0
0.13437712497018692,0.0,0.13949449532547809,0.0,0.0,0.0,0.0,0.0,0.1460508818566017,0.0,0.0,0.0,0.0,0.1373119153966996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15513056196459876,0.0,0.14844647714640197,0.10178909484768388,0.19631440113104504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25129817727979403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10611629391435957,0.0,0.20340575782067374,0.0,0.0,0.0,0.04909996370336334,0.3097509932889747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05258455923048441,0.10611629391435957,0.13488244638102784,0.0,0.0,0.0,0.0,0.0,0.4807408909772258,0.0,0.13643038429078744,0.0,0.0,0.0,0.3462831205709725,0.0,0.0,0.04909996370336334,0.0,0.2764191262692833,0.21223258782871915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12305349322141185,0.15642615068585217,0.12974312261233245,0.07867958499128717,0.15748781288407587
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22893614045336916,0.0,0.0,0.5571756586112345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32185063784934437,0.0,0.0,0.0,0.226284862987398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21648832770181983,0.0,0.0,0.0,0.10451591091863197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22893614045336916,0.11193334360555472,0.0,0.0,0.2137734760788285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10451591091863197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39763432210499766,0.0,0.0,0.0,0.0,0.0,0.26193599680552476,0.0,0.2761757773830454,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30821736523433496,0.0,0.0,0.0,0.0,0.0,0.8372835832757147,0.0,0.0,0.33009137024919066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30821736523433496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14167537905062846,0.1596703017941711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8790718099381536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21462095453769467,0.0,0.0,0.0,0.1655587854599109,0.0,0.0,0.0,0.0,0.1157035623187457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11601176562029009,0.0,0.0,0.0,0.0,0.0,0.05367859421962472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05748813245981364,0.0,0.0,0.0,0.0,0.0,0.0,0.15415430373293543,0.17519018525452035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05367859421962472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10211101466018349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08601655067672638,0.0
0.0,0.0,0.0,0.0,0.10431049759170419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12386109183939598,0.0,0.0,0.2260861433408507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14470419745683477,0.0,0.17807066022182258,0.0,0.0,0.1224266738350824,0.0,0.0,0.0,0.0,0.8817981008569983,0.0,0.0,0.0,0.0,0.0,0.0,0.05654613909072865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12386109183939598,0.060559185302777506,0.0,0.0,0.11565765064874023,0.0,0.0,0.16464245762304114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05654613909072865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10756585044023412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24953741951137431,0.0,0.0,0.0,0.0,0.0,0.2291780294165235,0.7099946142848929,0.0,0.0,0.0,0.0,0.0,0.0,0.19249337600838706,0.13512564643163238,0.0,0.22757077724439606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06241151015946462,0.0,0.0,0.0,0.0,0.19249337600838706,0.0,0.0,0.1367088525583229,0.06684081830430229,0.0,0.0,0.1276544916161604,0.382007540900191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06241151015946462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11872335185945257,0.0,0.0,0.17231741878900464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.05347823967221653,0.04385500740561288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033537437911078286,0.0,0.0,0.0,0.0,0.0,0.04605173000303112,0.05249792447112733,0.1819817723111969,0.05023595509835873,0.13778629164039452,0.044289998792647445,0.11847024852218381,0.053755950523912854,0.12117352342344856,0.10249602734168876,0.0,0.0,0.0,0.05716305386005415,0.0,0.08504212557147309,0.0,0.0523257366176149,0.0,0.0,0.035974853364867256,0.1697992391508721,0.0,0.0,0.0,0.0,0.07182189134779632,0.17505124355099752,0.48184355056028805,0.060169602249199004,0.09856403332009014,0.0,0.016615979168711378,0.0,0.0,0.090610927793618,0.0,0.0,0.0,0.0,0.03639635446223938,0.01779520543127707,0.3231985110650834,0.0,0.03398578832761828,0.0,0.13642418491867464,0.19351953573774192,0.0,0.0,0.0,0.0,0.0,0.0,0.13868643415801718,0.15624812956808795,0.06527326963694793,0.0,0.016615979168711378,0.050387700255004664,0.046771668423954374,0.21546567404338896,0.040219435061667946,0.0,0.4791776243797644,0.0,0.0,0.0,0.0,0.045876515945352615,0.0,0.047653025420123965,0.04164268414447091,0.10587273249083005,0.0,0.026626055227175885,0.213182578628136
